Month,GridCompany,GridCompanyName,NumberofChangesforSmallConsumers,NumberofChangesforLargeConsumers
2023-10-01T00:00:00,141,Hammel Elforsyning Net A/S,28,0
2023-10-01T00:00:00,151,Konstant Net A/S - 151,1248,6
2023-10-01T00:00:00,154,Elnet Midt A/S,204,2
2023-10-01T00:00:00,233,Dinel A/S - 233,980,3
2023-10-01T00:00:00,244,TREFOR El-Net A/S,942,8
2023-10-01T00:00:00,245,Konstant Net A/S - 245,519,6
2023-10-01T00:00:00,331,Netselskabet Elværk A/S - 331,145,2
2023-10-01T00:00:00,341,GEV Elnet A/S,20,2
2023-10-01T00:00:00,342,Ikast El Net A/S,57,1
2023-10-01T00:00:00,344,N1 A/S - 344,2090,22
2023-10-01T00:00:00,347,NOE Net A/S,167,0
2023-10-01T00:00:00,348,RAH Net A/S,349,7
2023-10-01T00:00:00,351,L-Net A/S,137,3
2023-10-01T00:00:00,357,Forsyning Elnet A/S,28,1
2023-10-01T00:00:00,370,Aal El-net A.m.b.a,11,0
2023-10-01T00:00:00,371,Hjerting Transformatorforening,20,1
2023-10-01T00:00:00,381,Hurup Elværk Net A/S,5,0
2023-10-01T00:00:00,384,Tarm Elværk Net A/S,24,0
2023-10-01T00:00:00,385,Videbæk Elnet A/S,18,0
2023-10-01T00:00:00,396,Sunds Net A.m.b.a,16,0
2023-10-01T00:00:00,398,N1 A/S - 398,16,0
2023-10-01T00:00:00,531,Ravdex A/S,104,1
2023-10-01T00:00:00,532,Veksel A/S,47,1
2023-10-01T00:00:00,533,FLOW Elnet A/S,241,4
2023-10-01T00:00:00,543,Vores Elnet A/S,1187,10
2023-10-01T00:00:00,584,Midtfyns Elforsyning A.m.b.A.,55,2
2023-10-01T00:00:00,740,Cerius A/S - 740,3027,167
2023-10-01T00:00:00,757,Elektrus A/S,117,1
2023-10-01T00:00:00,791,Radius Elnet A/S,7235,202
2023-10-01T00:00:00,853,Cerius A/S - 853,50,0
2023-10-01T00:00:00,854,NKE-Elnet A/S,118,0
2023-10-01T00:00:00,860,Zeanet A/S,171,1
2023-10-01T00:00:00,911,TREFOR El-Net Øst A/S,90,2
2023-09-01T00:00:00,016,El-net Kongerslev A/S,8,0
2023-09-01T00:00:00,031,Nord Energi Net A/S,736,15
2023-09-01T00:00:00,042,Netselskabet Elværk A/S - 042,79,3
