HourUTC,HourDK,GridCompany,ResidualConsumption,FlexSettledConsumption,HourlySettledConsumption
2023-12-31T21:00:00,2023-12-31T22:00:00,348,,40453.627,66598.63
2023-12-31T21:00:00,2023-12-31T22:00:00,351,,8099.59,15090.5
2023-12-31T21:00:00,2023-12-31T22:00:00,357,,2531.7,1839.77
2023-12-31T21:00:00,2023-12-31T22:00:00,370,,1193.184,253.861
2023-12-31T21:00:00,2023-12-31T22:00:00,371,,1448.255,206.54
2023-12-31T21:00:00,2023-12-31T22:00:00,381,,763.98,1162.69
2023-12-31T21:00:00,2023-12-31T22:00:00,384,,1091.09,3063.13
2023-12-31T21:00:00,2023-12-31T22:00:00,385,,1316.62,13833.38
2023-12-31T21:00:00,2023-12-31T22:00:00,396,,1270.97,405.41
2023-12-31T21:00:00,2023-12-31T22:00:00,398,,1260.795,1016.44
2023-12-31T21:00:00,2023-12-31T22:00:00,531,,9556.924,7235.573
2023-12-31T21:00:00,2023-12-31T22:00:00,532,,7529.42,1697.79
2023-12-31T21:00:00,2023-12-31T22:00:00,533,,18710.587,31351.73
2023-12-31T21:00:00,2023-12-31T22:00:00,543,,105068.427,149987.694
2023-12-31T21:00:00,2023-12-31T22:00:00,584,,3950.578,3594.68
2023-12-31T21:00:00,2023-12-31T22:00:00,740,,271516.952,180332.41
2023-12-31T21:00:00,2023-12-31T22:00:00,757,,7790.62,2731.42
2023-12-31T21:00:00,2023-12-31T22:00:00,791,,533024.383,438989.988
2023-12-31T21:00:00,2023-12-31T22:00:00,853,,3904.333,9449.342
2023-12-31T21:00:00,2023-12-31T22:00:00,854,,6952.266,2917.039
2023-12-31T21:00:00,2023-12-31T22:00:00,860,,9898.725,6967.55
2023-12-31T21:00:00,2023-12-31T22:00:00,911,,18876.702,7471.03
2023-12-31T21:00:00,2023-12-31T22:00:00,950,,63.1,
2023-12-31T21:00:00,2023-12-31T22:00:00,951,,8900.0,
2023-12-31T21:00:00,2023-12-31T22:00:00,952,,58993.7,
2023-12-31T21:00:00,2023-12-31T22:00:00,953,,31011.0,
2023-12-31T21:00:00,2023-12-31T22:00:00,954,,17652.0,
2023-12-31T21:00:00,2023-12-31T22:00:00,960,,100.0,
2023-12-31T21:00:00,2023-12-31T22:00:00,962,,11315.008,
2023-12-31T21:00:00,2023-12-31T22:00:00,990,,19280.0,
2023-12-31T20:00:00,2023-12-31T21:00:00,003,,91551.603,0.0
2023-12-31T20:00:00,2023-12-31T21:00:00,007,,76873.184,0.0
2023-12-31T20:00:00,2023-12-31T21:00:00,016,,536.654,36.33
2023-12-31T20:00:00,2023-12-31T21:00:00,031,,73865.006,92086.179
2023-12-31T20:00:00,2023-12-31T21:00:00,042,,11207.475,8995.78
2023-12-31T20:00:00,2023-12-31T21:00:00,051,,12915.77,25595.71
2023-12-31T20:00:00,2023-12-31T21:00:00,084,,2090.28,632.37
2023-12-31T20:00:00,2023-12-31T21:00:00,085,,1973.33,264.74
2023-12-31T20:00:00,2023-12-31T21:00:00,131,,314533.478,340946.858
2023-12-31T20:00:00,2023-12-31T21:00:00,141,,1951.07,868.73
2023-12-31T20:00:00,2023-12-31T21:00:00,151,,96699.658,353644.03
2023-12-31T20:00:00,2023-12-31T21:00:00,154,,11036.636,57009.976
2023-12-31T20:00:00,2023-12-31T21:00:00,233,,68471.911,35136.509
2023-12-31T20:00:00,2023-12-31T21:00:00,244,,82862.103,94241.675
2023-12-31T20:00:00,2023-12-31T21:00:00,245,,40143.899,32864.155
2023-12-31T20:00:00,2023-12-31T21:00:00,312,,2355.495,
2023-12-31T20:00:00,2023-12-31T21:00:00,331,,21778.862,15245.66
2023-12-31T20:00:00,2023-12-31T21:00:00,341,,2207.233,1682.777
2023-12-31T20:00:00,2023-12-31T21:00:00,342,,5380.31,1805.03
2023-12-31T20:00:00,2023-12-31T21:00:00,344,,239079.307,298291.7
2023-12-31T20:00:00,2023-12-31T21:00:00,347,,24375.37,17389.323
2023-12-31T20:00:00,2023-12-31T21:00:00,348,,42929.753,69275.75
